OP_UNIQUE_CARRIER,ORIGIN,CRS_DEP_HOUR,MEAN
9E,ABE,5,-1.7457627118644068
9E,ABE,6,-3.504950495049505
9E,ABE,7,-4.75
9E,ABE,9,10.333333333333334
9E,ABE,10,-8.0
9E,ABE,12,-1.5625
9E,ABE,13,-4.857142857142857
9E,ABE,14,-4.5
9E,ABE,17,-3.979591836734694
9E,ABE,18,-0.65625
9E,ABY,7,-3.805755395683453
9E,ABY,8,-3.230769230769231
9E,ABY,12,-5.88
9E,ABY,13,-4.186567164179104
9E,ABY,14,-7.0
9E,ABY,16,-5.0
9E,ABY,17,-4.734848484848484
9E,ACK,11,-3.925925925925926
9E,ACK,13,1.5384615384615385
9E,ACK,15,-5.12
9E,ACK,16,-15.0
9E,ACK,17,0.26666666666666666
9E,ACK,18,-0.5
9E,AEX,7,-3.5307692307692307
9E,AEX,10,-2.5072463768115942
9E,AEX,11,-2.390625
9E,AEX,12,-3.9545454545454546
9E,AEX,14,-5.208333333333333
9E,AEX,16,-1.1951219512195121
9E,AEX,17,-2.106382978723404
9E,AGS,5,-1.6593406593406594
9E,AGS,6,2.6666666666666665
9E,AGS,7,-1.825
9E,AGS,9,7.333333333333333
9E,AGS,10,-0.13675213675213677
9E,AGS,12,-0.65
9E,AGS,13,1.072072072072072
9E,AGS,14,12.833333333333334
9E,AGS,15,0.20833333333333334
9E,AGS,16,6.0
9E,AGS,17,0.42105263157894735
9E,AGS,18,-0.19047619047619047
9E,AGS,19,2.8823529411764706
9E,ALB,5,-2.3580246913580245
9E,ALB,6,-4.354838709677419
9E,ALB,7,-4.666666666666667
9E,ALB,8,0.5833333333333334
9E,ALB,9,0.0410958904109589
9E,ALB,10,-1.1142857142857143
9E,ALB,11,-3.1494252873563218
9E,ALB,12,-3.1293103448275863
9E,ALB,13,1.6216216216216217
9E,ALB,14,0.9622641509433962
9E,ALB,15,-0.8928571428571429
9E,ALB,16,1.3076923076923077
9E,ALB,17,0.5760869565217391
9E,ALB,18,0.5857142857142857
9E,ALB,19,-3.066666666666667
9E,ALB,20,1.6
9E,ATL,7,-1.8059701492537314
9E,ATL,8,-1.1700468018720749
9E,ATL,9,-0.4052757793764988
9E,ATL,10,-0.9029850746268657
9E,ATL,11,-0.7792740046838408
9E,ATL,12,-1.1738562091503268
9E,ATL,13,-0.33495145631067963
9E,ATL,14,-1.4932432432432432
9E,ATL,15,-0.6532690246516613
9E,ATL,16,1.2202797202797202
9E,ATL,17,0.3360323886639676
9E,ATL,18,0.20869565217391303
9E,ATL,19,-1.1300380228136881
9E,ATL,20,-0.3125
9E,ATL,21,-1.0954571592869464
9E,ATL,22,-2.810502283105023
9E,ATL,23,-4.555555555555555
9E,ATW,6,-3.6
9E,ATW,7,-3.844155844155844
9E,ATW,11,7.0
9E,ATW,12,-3.4444444444444446
9E,ATW,13,-5.368421052631579
9E,ATW,14,0.5945945945945946
9E,ATW,15,-0.8
9E,ATW,17,-0.5606060606060606
9E,ATW,18,-0.8428571428571429
9E,AUS,9,-2.2857142857142856
9E,AUS,10,-2.257575757575758
9E,AUS,12,9.8
9E,AUS,13,-0.41284403669724773
9E,AUS,14,-3.6666666666666665
9E,AVL,10,-6.666666666666667
9E,AVL,11,1.3043478260869565
9E,AVL,12,-1.06
9E,AVL,13,1.864864864864865
9E,AVL,15,-4.633333333333334
9E,AVL,16,-2.857142857142857
9E,AVL,17,-1.0
9E,AVL,18,-12.0
9E,AVL,19,1.8308823529411764
9E,AZO,5,-3.154696132596685
9E,AZO,6,-4.25
9E,AZO,10,-3.6666666666666665
9E,AZO,11,-2.3043478260869565
9E,AZO,13,-3.2857142857142856
9E,AZO,14,-3.6615384615384614
9E,AZO,15,0.2727272727272727
9E,AZO,16,-5.538461538461538
