Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
1,SO,GA,ATL,Atlanta,"Hartsfield - Jackson Atlanta
International",P,L,"45,396,001","36,676,010",23.78%
2,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,"35,345,138","30,005,266",17.80%
3,NM,CO,DEN,Denver,Denver International,P,L,"33,773,832","28,645,527",17.90%
4,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,"33,120,474","26,350,976",25.69%
5,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,"32,326,616","23,663,410",36.61%
6,EA,NY,JFK,New York,John F Kennedy International,P,L,"26,919,982","15,273,342",76.25%
7,WP,NV,LAS,Las Vegas,Harry Reid International,P,L,"25,480,500","19,160,342",32.99%
8,SO,FL,MCO,Orlando,Orlando International,P,L,"24,469,733","19,618,838",24.73%
9,SO,FL,MIA,Miami,Miami International,P,L,"23,949,892","17,500,096",36.86%
10,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,"23,100,300","20,900,875",10.52%
11,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,"22,157,862","17,430,195",27.12%
12,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,"21,852,586","18,940,287",15.38%
13,EA,NJ,EWR,Newark,Newark Liberty International,P,L,"21,572,147","14,514,049",48.63%
14,WP,CA,SFO,San Francisco,San Francisco International,P,L,"20,411,420","11,725,347",74.08%
15,SW,TX,IAH,Houston,George Bush Intcntl/Houston,P,L,"19,814,052","16,242,821",21.99%
16,NE,MA,BOS,Boston,"General Edward Lawrence Logan
International",P,L,"17,443,775","10,909,817",59.89%
17,SO,FL,FLL,Fort Lauderdale,"Fort Lauderdale/Hollywood
International",P,L,"15,370,165","13,598,994",13.02%
18,GL,MN,MSP,Minneapolis,"Minneapolis-St Paul
International/Wold-Chamberlain",P,L,"15,242,089","12,211,409",24.82%
19,EA,NY,LGA,New York,Laguardia,P,L,"14,367,463","7,827,307",83.56%
20,GL,MI,DTW,Detroit,Detroit Metro Wayne County,P,L,"13,751,197","11,517,696",19.39%
21,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,"12,421,168","9,820,222",26.49%
22,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,"12,383,843","10,795,906",14.71%
23,EA,VA,DCA,Arlington,Ronald Reagan Washington Ntl,P,L,"11,553,850","6,731,737",71.63%
24,WP,CA,SAN,San Diego,San Diego International,P,L,"11,162,224","7,836,360",42.44%
25,EA,MD,BWI,Glen Burnie,"Baltimore/Washington International
Thurgood Marshall",P,L,"11,151,169","9,253,561",20.51%
26,SO,FL,TPA,Tampa,Tampa International,P,L,"10,539,459","8,847,197",19.13%
27,SW,TX,AUS,Austin,Austin-Bergstrom International,P,L,"10,382,573","6,666,215",55.75%
28,EA,VA,IAD,Dulles,Washington Dulles International,P,L,"10,266,324","7,227,875",42.04%
29,SO,TN,BNA,Nashville,Nashville International,P,L,"9,829,062","7,594,049",29.43%
30,GL,IL,MDW,Chicago,Chicago Midway International,P,L,"9,650,281","7,680,617",25.64%
31,WP,HI,HNL,Honolulu,Daniel K Inouye International,P,L,"8,828,395","5,830,928",51.41%
,,,31,Large Count,,,,,,
32,SW,TX,DAL,Dallas,Dallas Love Field,P,M,"7,819,129","6,487,563",20.52%
33,NM,OR,PDX,Portland,Portland International,P,M,"7,241,882","5,759,879",25.73%
34,CE,MO,STL,St. Louis,St Louis Lambert International,P,M,"6,709,080","5,070,471",32.32%
35,SW,TX,HOU,Houston,William P Hobby,P,M,"6,462,948","5,560,780",16.22%
36,WP,CA,SMF,Sacramento,Sacramento International,P,M,"6,040,824","4,760,275",26.90%
37,SW,LA,MSY,- Kenner,"Louis Armstrong New Orleans
International",P,M,"5,931,899","4,017,147",47.66%
38,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,"5,849,665","4,311,049",35.69%
39,WP,CA,SJC,San Jose,"Norman Y Mineta San Jose
International",P,M,"5,590,137","3,619,690",54.44%
40,WP,CA,SNA,Santa Ana,John Wayne/Orange County,P,M,"5,536,313","3,807,205",45.42%
41,WP,CA,OAK,Oakland,Metro Oakland International,P,M,"5,506,232","4,011,953",37.25%
42,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,"5,132,694","5,080,805",1.02%
43,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,"5,039,771","4,738,725",6.35%
44,CE,MO,MCI,Kansas City,Kansas City International,P,M,"4,796,476","3,795,290",26.38%
45,SW,TX,SAT,San Antonio,San Antonio International,P,M,"4,751,610","3,677,643",29.20%
46,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,"4,237,795","3,552,402",19.29%
47,GL,IN,IND,Indianapolis,Indianapolis International,P,M,"4,209,416","3,487,100",20.71%
48,WP,HI,OGG,Kahului,Kahului,P,M,"4,125,311","2,933,315",40.64%
49,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,"3,918,968","3,069,259",27.68%
Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
50,SO,KY,CVG,Hebron,"Cincinnati/Northern Kentucky
International",P,M,"3,702,997","3,050,597",21.39%
51,GL,OH,CMH,Columbus,John Glenn Columbus International,P,M,"3,618,555","2,825,259",28.08%
52,SO,FL,PBI,"West Palm
Beach",Palm Beach International,P,M,"3,257,730","2,567,897",26.86%
53,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,"3,177,393","2,425,685",30.99%
