iata_code,name,size
ATL,Hartsfield - Jackson Atlanta International,Large
DFW,Dallas-Fort Worth International,Large
DEN,Denver International,Large
ORD,Chicago O'Hare International,Large
LAX,Los Angeles International,Large
JFK,John F Kennedy International,Large
LAS,Harry Reid International,Large
MCO,Orlando International,Large
MIA,Miami International,Large
CLT,Charlotte/Douglas International,Large
SEA,Seattle-Tacoma International,Large
PHX,Phoenix Sky Harbor International,Large
EWR,Newark Liberty International,Large
SFO,San Francisco International,Large
IAH,George Bush Intcntl/Houston,Large
BOS,General Edward Lawrence Logan International,Large
FLL,Fort Lauderdale/Hollywood International,Large
MSP,Minneapolis-St Paul International/Wold-Chamberlain,Large
LGA,Laguardia,Large
DTW,Detroit Metro Wayne County,Large
PHL,Philadelphia International,Large
SLC,Salt Lake City International,Large
DCA,Ronald Reagan Washington Ntl,Large
SAN,San Diego International,Large
BWI,Baltimore/Washington International Thurgood Marshall,Large
TPA,Tampa International,Large
AUS,Austin-Bergstrom International,Large
IAD,Washington Dulles International,Large
BNA,Nashville International,Large
MDW,Chicago Midway International,Large
HNL,Daniel K Inouye International,Large
DAL,Dallas Love Field,Medium
PDX,Portland International,Medium
STL,St Louis Lambert International,Medium
HOU,William P Hobby,Medium
SMF,Sacramento International,Medium
MSY,Louis Armstrong New Orleans International,Medium
RDU,Raleigh-Durham International,Medium
SJC,Norman Y Mineta San Jose International,Medium
SNA,John Wayne/Orange County,Medium
OAK,Metro Oakland International,Medium
RSW,Southwest Florida International,Medium
SJU,Luis Munoz Marin International,Medium
MCI,Kansas City International,Medium
SAT,San Antonio International,Medium
CLE,Cleveland-Hopkins International,Medium
IND,Indianapolis International,Medium
OGG,Kahului,Medium
PIT,Pittsburgh International,Medium
CVG,Cincinnati/Northern Kentucky International,Medium
CMH,John Glenn Columbus International,Medium
PBI,Palm Beach International,Medium
JAX,Jacksonville International,Medium
BUR,Bob Hope,Medium
BDL,Bradley International,Medium
ONT,Ontario International,Medium
MKE,General Mitchell International,Medium
CHS,Charleston AFB/International,Medium
ANC,Ted Stevens Anchorage International,Medium
ABQ,Albuquerque International Sunport,Medium
BOI,Boise Air Trml/Gowen Field,Medium
OMA,Eppley Airfield,Medium
MEM,Memphis International,Medium
RNO,Reno/Tahoe International,Medium
ORF,Norfolk International,Small
RIC,Richmond International,Small
BUF,Buffalo Niagara International,Small
KOA,Ellison Onizuka Kona International at Keahole,Small
ELP,El Paso International,Small
OKC,Will Rogers World,Small
SRQ,Sarasota/Bradenton International,Small
GEG,Spokane International,Small
SDF,Louisville Muhammad Ali International,Small
LIH,Lihue,Small
SAV,Savannah/Hilton Head International,Small
GRR,Gerald R Ford International,Small
MYR,Myrtle Beach International,Small
TUS,Tucson International,Small
LGB,Long Beach (Daugherty Field),Small
PVD,Rhode Island Tf Green International,Small
PSP,Palm Springs International,Small
TUL,Tulsa International,Small
DSM,Des Moines International,Small
SFB,Orlando Sanford International,Small
BHM,Birmingham-Shuttlesworth International,Small
ALB,Albany International,Small
SYR,Syracuse Hancock International,Small
PIE,St Pete-Clearwater International,Small
TYS,McGhee Tyson,Small
PNS,Pensacola International,Small
ROC,Frederick Douglass/Greater Rochester International,Small
BZN,Bozeman Yellowstone International,Small
COS,City of Colorado Springs Municipal,Small
FAT,Fresno Yosemite International,Small
GSP,Greenville Spartanburg International,Small
VPS,Eglin AFB/Destin-Ft Walton Beach,Small
LIT,Bill and Hillary Clinton Ntl/Adams Field,Small
PWM,Portland International Jetport,Small
IWA,Phoenix-Mesa Gateway,Small
PGD,Punta Gorda,Small
AVL,Asheville Regional,Small
