OP_UNIQUE_CARRIER,ORIGIN,CRS_DEP_HOUR,MEAN
AA,ABQ,5,-1.375
AA,ABQ,6,-3.0901639344262297
AA,ABQ,7,-3.4545454545454546
AA,ABQ,8,-3.7758620689655173
AA,ABQ,9,-4.32
AA,ABQ,10,1.6149732620320856
AA,ABQ,11,2.566666666666667
AA,ABQ,12,1.7580645161290323
AA,ABQ,13,6.265060240963855
AA,ABQ,14,5.265486725663717
AA,ABQ,15,3.572519083969466
AA,ABQ,16,3.0442477876106193
AA,ABQ,17,2.4603174603174605
AA,ABQ,18,-3.891891891891892
AA,ABQ,19,0.0
AA,ABQ,21,9.0
AA,AGS,7,9.333333333333334
AA,AGS,8,2.0
AA,AGS,11,6.5
AA,AGS,12,9.333333333333334
AA,AGS,14,6.5
AA,AGS,16,5.6
AA,AGS,18,55.0
AA,AGS,19,9.0
AA,ALB,5,-0.1016949152542373
AA,ALB,6,-0.8111888111888111
AA,ALB,7,-3.0
AA,ALB,11,-1.0406504065040652
AA,ALB,15,-2.0
AA,ALB,16,-2.0
AA,ALB,17,1.8363636363636364
AA,ALB,18,14.0
AA,ALB,19,6.194444444444445
AA,AMA,6,-0.5316455696202531
AA,AMA,7,-2.0
AA,AMA,8,2.6842105263157894
AA,AMA,10,-4.0
AA,AMA,11,-2.6470588235294117
AA,AMA,16,3.6666666666666665
AA,AMA,18,4.162162162162162
AA,ANC,6,6.518518518518518
AA,ANC,9,8.12
AA,ANC,10,1.4444444444444444
AA,ANC,21,14.605633802816902
AA,ATL,5,-3.0697674418604652
AA,ATL,6,-3.6295652173913044
AA,ATL,7,-2.5250783699059562
AA,ATL,8,0.31519274376417233
AA,ATL,9,-0.3969465648854962
AA,ATL,10,-2.201923076923077
AA,ATL,11,2.3448275862068964
AA,ATL,12,1.7847533632286996
AA,ATL,13,3.125
AA,ATL,14,2.5276073619631902
AA,ATL,15,-0.2909090909090909
AA,ATL,16,6.512941176470588
AA,ATL,17,0.5555555555555556
AA,ATL,18,4.445402298850575
AA,ATL,19,8.363636363636363
AA,ATL,20,6.7687074829931975
AA,AUS,5,-3.309090909090909
AA,AUS,6,-3.2208520179372195
AA,AUS,7,-3.089567966280295
AA,AUS,8,-0.25934065934065936
AA,AUS,9,0.9875621890547264
AA,AUS,10,3.297560975609756
AA,AUS,11,2.0545454545454547
AA,AUS,12,2.5647058823529414
AA,AUS,13,5.0244648318042815
AA,AUS,14,5.827526132404182
AA,AUS,15,3.681318681318681
AA,AUS,16,3.6157112526539277
AA,AUS,17,4.865822784810127
AA,AUS,18,3.712031558185404
AA,AUS,19,2.575875486381323
AA,AUS,20,5.178832116788321
AA,AUS,21,7.144796380090498
AA,AUS,22,3.5416666666666665
AA,AUS,23,5.166666666666667
AA,AVL,7,-0.42045454545454547
AA,AVL,12,1.9
AA,AVL,14,2.106382978723404
AA,AVL,16,6.411764705882353
AA,AVL,18,2.22
AA,AVP,5,-4.666666666666667
AA,AVP,6,-3.539325842696629
AA,AVP,8,-6.0
AA,AVP,11,1.5555555555555556
AA,AVP,13,0.3953488372093023
AA,AVP,14,-0.3333333333333333
AA,AVP,17,8.8
AA,AVP,19,6.62962962962963
AA,BDL,5,-3.2142857142857144
AA,BDL,6,-0.6847635726795096
AA,BDL,7,-2.0574162679425836
AA,BDL,9,1.5925925925925926
AA,BDL,10,0.0
AA,BDL,11,4.632075471698113
AA,BDL,13,6.4222222222222225
AA,BDL,14,1.3333333333333333
