airport,start_time,end_time,wait_time
ABR,0000,0100,1
ABR,0100,0200,1
ABR,0200,0300,1
ABR,0300,0400,1
ABR,0400,0500,1
ABR,0500,0600,1
ABR,0600,0700,1
ABR,0700,0800,1
ABR,0800,0900,1
ABR,0900,1000,1
ABR,1000,1100,1
ABR,1100,1200,1
ABR,1200,1300,1
ABR,1300,1400,1
ABR,1400,1500,1
ABR,1500,1600,1
ABR,1600,1700,1
ABR,1700,1800,1
ABR,1800,1900,1
ABR,1900,2000,1
ABR,2000,2100,1
ABR,2100,2200,1
ABR,2200,2300,1
ABR,2300,2400,1
ABI,0000,0100,1
ABI,0100,0200,1
ABI,0200,0300,1
ABI,0300,0400,1
ABI,0400,0500,1
ABI,0500,0600,1
ABI,0600,0700,1
ABI,0700,0800,6
ABI,0800,0900,5
ABI,0900,1000,5
ABI,1000,1100,4
ABI,1100,1200,3
ABI,1200,1300,1
ABI,1300,1400,1
ABI,1400,1500,1
ABI,1500,1600,1
ABI,1600,1700,1
ABI,1700,1800,1
ABI,1800,1900,1
ABI,1900,2000,1
ABI,2000,2100,1
ABI,2100,2200,1
ABI,2200,2300,1
ABI,2300,2400,1
ADK,0000,0100,1
ADK,0100,0200,1
ADK,0200,0300,1
ADK,0300,0400,1
ADK,0400,0500,1
ADK,0500,0600,1
ADK,0600,0700,1
ADK,0700,0800,1
ADK,0800,0900,1
ADK,0900,1000,1
ADK,1000,1100,1
ADK,1100,1200,1
ADK,1200,1300,1
ADK,1300,1400,1
ADK,1400,1500,1
ADK,1500,1600,1
ADK,1600,1700,1
ADK,1700,1800,1
ADK,1800,1900,1
ADK,1900,2000,1
ADK,2000,2100,1
ADK,2100,2200,1
ADK,2200,2300,1
ADK,2300,2400,1
BQN,0000,0100,0
BQN,0100,0200,1
BQN,0200,0300,2
BQN,0300,0400,3
BQN,0400,0500,4
BQN,0500,0600,4
BQN,0600,0700,5
BQN,0700,0800,6
BQN,0800,0900,11
BQN,0900,1000,16
BQN,1000,1100,20
BQN,1100,1200,25
BQN,1200,1300,30
BQN,1300,1400,34
BQN,1400,1500,0
BQN,1500,1600,18
BQN,1600,1700,16
BQN,1700,1800,15
BQN,1800,1900,13
BQN,1900,2000,11
BQN,2000,2100,9
BQN,2100,2200,8
BQN,2200,2300,6
BQN,2300,2400,1
ALS,0000,0100,1
ALS,0100,0200,1
ALS,0200,0300,1
ALS,0300,0400,1
ALS,0400,0500,1
ALS,0500,0600,1
ALS,0600,0700,1
ALS,0700,0800,1
ALS,0800,0900,1
ALS,0900,1000,1
ALS,1000,1100,1
ALS,1100,1200,1
ALS,1200,1300,1
ALS,1300,1400,1
ALS,1400,1500,1
ALS,1500,1600,1
ALS,1600,1700,1
ALS,1700,1800,1
ALS,1800,1900,1
ALS,1900,2000,1
ALS,2000,2100,1
ALS,2100,2200,1
ALS,2200,2300,1
ALS,2300,2400,1
ABY,0000,0100,1
ABY,0100,0200,1
ABY,0200,0300,1
ABY,0300,0400,1
ABY,0400,0500,1
ABY,0500,0600,1
ABY,0600,0700,1
ABY,0700,0800,1
ABY,0800,0900,1
ABY,0900,1000,1
ABY,1000,1100,1
ABY,1100,1200,1
ABY,1200,1300,1
ABY,1300,1400,1
ABY,1400,1500,1
ABY,1500,1600,1
ABY,1600,1700,1
ABY,1700,1800,1
ABY,1800,1900,1
ABY,1900,2000,1
ABY,2000,2100,1
ABY,2100,2200,1
ABY,2200,2300,1
ABY,2300,2400,1
ALB,0000,0100,17
ALB,0100,0200,14
ALB,0200,0300,12
ALB,0300,0400,9
ALB,0400,0500,6
ALB,0500,0600,8
ALB,0600,0700,11
ALB,0700,0800,13
ALB,0800,0900,15
ALB,0900,1000,17
ALB,1000,1100,0
ALB,1100,1200,17
ALB,1200,1300,16
ALB,1300,1400,20
ALB,1400,1500,0
ALB,1500,1600,28
ALB,1600,1700,21
ALB,1700,1800,14
ALB,1800,1900,7
ALB,1900,2000,0
ALB,2000,2100,2
ALB,2100,2200,4
ALB,2200,2300,6
ALB,2300,2400,1
ABQ,0000,0100,1
ABQ,0100,0200,1
ABQ,0200,0300,1
ABQ,0300,0400,1
ABQ,0400,0500,1
ABQ,0500,0600,1
ABQ,0600,0700,6
ABQ,0700,0800,6
ABQ,0800,0900,3
ABQ,0900,1000,4
ABQ,1000,1100,5
ABQ,1100,1200,6
ABQ,1200,1300,10
ABQ,1300,1400,13
ABQ,1400,1500,17
ABQ,1500,1600,0
ABQ,1600,1700,2
ABQ,1700,1800,0
ABQ,1800,1900,1
ABQ,1900,2000,1
ABQ,2000,2100,1
ABQ,2100,2200,1
ABQ,2200,2300,1
ABQ,2300,2400,1
TYS,0000,0100,1
TYS,0100,0200,1
TYS,0200,0300,1
TYS,0300,0400,1
TYS,0400,0500,1
TYS,0500,0600,1
TYS,0600,0700,7
TYS,0700,0800,17
TYS,0800,0900,3
TYS,0900,1000,5
TYS,1000,1100,6
TYS,1100,1200,5
TYS,1200,1300,5
TYS,1300,1400,4
TYS,1400,1500,1
TYS,1500,1600,1
TYS,1600,1700,1
TYS,1700,1800,1
TYS,1800,1900,1
TYS,1900,2000,1
TYS,2000,2100,1
TYS,2100,2200,1
TYS,2200,2300,1
TYS,2300,2400,1
AEX,0000,0100,1
AEX,0100,0200,1
AEX,0200,0300,1
AEX,0300,0400,1
AEX,0400,0500,1
AEX,0500,0600,1
AEX,0600,0700,1
AEX,0700,0800,1
AEX,0800,0900,1
AEX,0900,1000,1
AEX,1000,1100,1
AEX,1100,1200,1
AEX,1200,1300,1
AEX,1300,1400,1
AEX,1400,1500,1
AEX,1500,1600,1
AEX,1600,1700,1
AEX,1700,1800,1
AEX,1800,1900,1
AEX,1900,2000,1
AEX,2000,2100,1
AEX,2100,2200,1
AEX,2200,2300,1
AEX,2300,2400,1
ESF,0000,0100,1
ESF,0100,0200,1
ESF,0200,0300,1
ESF,0300,0400,1
ESF,0400,0500,1
ESF,0500,0600,1
